,Country,Tournament,Year of Tournament,Tournament Surface,Doubles,Prize Money,Match Day,Start Time,Player Name 1,Player Name 2,Winner,Sets,Score,BKNAME,FullClosingFullHomeOdds,FullClosingFullAwayOdds,FullClosingOutcomeTiming,FullOpeningFullHomeOdds,FullOpeningFullAwayOdds,FullOpeningOutcomeTiming,FullHomeVolume,FullAwayVolume,FullHomeLayClosingOdds,FullAwayLayClosingOdds,FullHomeLayOpeningOdds,FullAwayLayOpeningOdds,FullLayClosingTime,FullLayOpenClosingTime,FullLayHomeVolume,FullLayAwayVolume,Set1ClosingFullHomeOdds,Set1ClosingFullAwayOdds,Set1ClosingOutcomeTiming,Set1OpeningFullHomeOdds,Set1OpeningFullAwayOdds,Set1OpeningOutcomeTiming,Set1HomeVolume,Set1AwayVolume,Set1HomeLayClosingOdds,Set1AwayLayClosingOdds,Set1HomeLayOpeningOdds,Set1AwayLayOpeningOdds,Set1LayClosingTime,Set1LayOpenClosingTime,Set1LayHomeVolume,Set1LayAwayVolume,Set2ClosingFullHomeOdds,Set2ClosingFullAwayOdds,Set2ClosingOutcomeTiming,Set2OpeningFullHomeOdds,Set2OpeningFullAwayOdds,Set2OpeningOutcomeTiming,Set2HomeVolume,Set2AwayVolume,Set2HomeLayClosingOdds,Set2AwayLayClosingOdds,Set2HomeLayOpeningOdds,Set2AwayLayOpeningOdds,Set2LayClosingTime,Set2LayOpenClosingTime,Set2LayHomeVolume,Set2LayAwayVolume,Set3ClosingFullHomeOdds,Set3ClosingFullAwayOdds,Set3ClosingOutcomeTiming,Set3OpeningFullHomeOdds,Set3OpeningFullAwayOdds,Set3OpeningOutcomeTiming,Set3HomeVolume,Set3AwayVolume,Set3HomeLayClosingOdds,Set3AwayLayClosingOdds,Set3HomeLayOpeningOdds,Set3AwayLayOpeningOdds,Set3LayClosingTime,Set3LayOpenClosingTime,Set3LayHomeVolume,Set3LayAwayVolume
20,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betvictor,1.0,29.0,2017-01-17 09:43:08,1.02,15.0,2017-01-17 07:30:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",unibet,1.01,25.0,2017-01-17 07:31:47,1.01,30.0,2017-01-17 07:31:47,,,,,,,,,,,7.5,1.1,2017-01-17 11:18:14,7.5,1.1,2017-01-17 11:18:14,,,,,,,,,,,1.09,8.5,2017-01-17 11:18:14,1.09,8.5,2017-01-17 11:18:14,,,,,,,,,,,,,,,,,,,,,,,,,,
22,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betfair,1.01,15.0,2017-01-18 01:18:34,1.02,13.0,2017-01-17 07:33:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",bet-at-home,1.01,11.19,2017-01-17 07:34:54,1.01,11.19,2017-01-17 07:34:54,,,,,,,,,,,5.91,1.07,2017-01-17 14:24:09,5.91,1.07,2017-01-17 14:24:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",interwetten,1.01,15.0,2017-01-17 07:35:42,1.01,12.0,2017-01-17 07:35:42,,,,,,,,,,,8.0,1.05,2017-01-18 03:51:34,9.0,1.03,2017-01-17 07:35:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",149,1.01,15.0,2017-01-17 07:38:53,1.01,12.0,2017-01-17 07:38:53,,,,,,,,,,,8.0,1.05,2017-01-18 03:42:59,9.0,1.03,2017-01-17 07:38:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",139,1.0,16.0,2017-01-18 17:29:28,1.01,16.0,2017-01-17 08:05:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",william-hill,1.01,21.0,2017-01-17 10:27:37,1.02,17.0,2017-01-17 08:09:55,,,,,,,,,,,8.0,1.06,2017-01-17 12:03:51,7.0,1.08,2017-01-17 08:09:55,,,,,,,,,,,1.06,8.0,2017-01-17 12:03:51,1.08,7.0,2017-01-17 08:09:55,,,,,,,,,,,,,,,,,,,,,,,,,,
28,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betsson,1.01,20.0,2017-01-17 08:21:44,1.01,20.0,2017-01-17 08:21:44,,,,,,,,,,,8.0,1.05,2017-01-17 08:25:46,8.0,1.05,2017-01-17 08:25:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betsafe,1.01,20.0,2017-01-17 08:22:00,1.01,20.0,2017-01-17 08:22:00,,,,,,,,,,,8.0,1.05,2017-01-17 08:25:58,8.0,1.05,2017-01-17 08:25:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
